Displacement (mm),Force (kN)
-33.91291,-483.35321
-37.9514,-507.34763
-42.29109,-529.07959
-50.95511,-565.86768
-50.83224,-512.46136
-44.41912,-388.59045
-39.70144,-335.742
-31.78231,-223.18336
-27.0595,-168.10965
-16.70517,-62.52432
-12.01308,-20.80218
-7.94899,14.31855
-1.95482,89.27087
3.74326,168.71091
9.79886,270.36639
16.36983,329.66748
22.92545,382.29279
29.45546,423.79178
35.72012,483.13007
41.92845,517.99042
48.13679,552.85083
53.07376,567.83264
58.31194,580.55194
64.1474,586.52112
64.6986,559.74359
64.31037,524.17657
63.01341,493.17163
61.08333,453.34003
57.30509,409.28107
54.75725,367.29858
50.66756,321.05154
46.57276,272.57925
43.12131,237.38414
36.17746,149.1918
31.16369,100.83108
27.10985,70.16087
21.172,19.68645
15.58142,-13.02306
11.23149,-39.20554
6.25356,-71.98943
2.16899,-116.01122
-1.34389,-177.90948
-8.27238,-259.42603
-13.01566,-323.40079
-19.84176,-360.41205
-24.23777,-406.62192
-32.64154,-463.47461
-44.77749,-544.35889
-52.47648,-561.2312
-56.49449,-576.32458
-61.4161,-584.63055
-64.47932,-584.25867
-64.06548,-537.56531
-63.01341,-479.82004
-59.52101,-426.82285
-55.10453,-371.71194
-48.13508,-272.39328
-46.27155,-261.49011
-39.99667,-197.70131
-34.66634,-144.92725
-28.06977,-74.49983
-21.53975,-33.00084
-17.20006,-11.26888
-11.00196,19.14098
-5.38067,65.20207
0.59302,131.25334
4.67758,175.27512
9.10943,237.06181
14.1232,285.42255
21.90921,340.12436
28.18922,406.13843
35.64844,451.97638
41.54533,484.64868
47.72807,508.38275
54.23249,538.75543
59.16946,553.73724
65.32149,564.11969
63.35045,506.48602
61.05774,442.21371
56.94245,384.84036
53.46541,338.51895
49.38596,296.72241
41.19635,199.7778
36.50426,158.05568
31.79682,109.65775
27.41617,70.12369
21.19247,28.5875
15.9031,-6.38446
10.31253,-39.09397
3.80811,-69.46664
1.53587,-124.83788
-6.40885,-248.52284
-15.48671,-332.0043
-27.31122,-410.70053
-31.34459,-432.46967
-36.62884,-465.21637
-43.75102,-497.73993
-48.07535,-512.79608
-53.02256,-532.22839
-57.04058,-547.32178
-63.81036,-559.85516
-62.7634,-504.33514
-60.80261,-451.15198
-51.3058,-318.75189
-41.86019,-208.60448
-36.20818,-149.1918
-31.81217,-102.98196
-27.43665,-65.67316
-22.75991,-30.62681
-14.70853,6.2357
-6.93787,54.26171
-2.20995,111.56069
3.78422,186.513
14.44488,292.06116
18.1924,322.76852
25.0697,382.03244
30.04251,412.59106
37.48637,451.75323
46.79375,501.81854
61.94172,560.07831
71.18254,581.21521
75.16472,580.73169
77.61529,580.4342
77.23729,549.31769
77.1605,515.93872
76.1545,478.22083
72.37626,434.16187
70.45642,398.78079
67.93417,367.92465
65.08513,328.20462
60.70448,288.67056
55.97144,229.14632
50.95255,178.56033
47.18454,138.95187
