Top_Displacement_mm,Base_Shear_kN
0.0632893,2.60343
0.126579,5.20417
0.189868,7.8022
0.253157,10.3975
0.316447,12.9901
0.379736,15.58
0.443025,18.1672
0.506315,20.7516
0.569604,23.3334
0.632893,25.9123
0.696183,28.4885
0.759472,31.062
0.822761,33.6328
0.886051,36.2007
0.94934,38.7659
1.01263,41.3284
1.07592,43.888
1.13921,46.4449
1.2025,48.999
1.26579,51.5503
1.32908,54.0988
1.39237,56.6446
1.45565,59.1875
1.51894,61.7276
1.58223,64.2649
1.64552,66.7994
1.70881,69.3311
1.7721,71.86
1.83539,74.386
1.89868,76.9092
1.96197,79.4296
2.02526,81.9471
2.08855,84.4618
2.15184,86.9736
2.21513,89.4826
2.27842,91.9887
2.34171,94.492
2.40499,96.9924
2.46828,99.49
2.53157,101.985
2.59486,104.476
2.65815,106.965
2.72144,109.451
2.78473,111.935
2.84802,114.415
2.91131,116.892
2.9746,119.367
3.03789,121.838
3.10118,124.307
3.16447,126.773
3.22776,129.236
3.29105,131.696
3.35433,134.153
3.41762,136.607
3.48091,139.058
3.5442,141.506
3.60749,143.952
3.67078,146.394
3.73407,148.834
3.79736,151.27
3.86065,153.704
3.92394,156.135
3.98723,158.562
4.05052,160.987
4.11381,163.409
4.1771,165.828
4.24039,168.244
4.30367,170.657
4.36696,173.067
4.43025,175.474
4.49354,177.878
4.55683,180.279
4.62012,182.677
4.68341,185.072
4.7467,187.464
4.80999,189.849
4.87328,192.223
4.93657,194.592
4.99986,196.957
5.06315,199.316
5.12644,201.667
5.18973,204.008
5.25301,206.339
5.3163,208.66
5.37959,210.97
5.44288,213.269
5.50617,215.554
5.56946,217.836
5.63275,220.116
5.69604,222.395
5.75933,224.672
5.82262,226.945
5.88591,229.212
5.9492,231.47
6.01249,233.721
6.07578,235.966
6.13907,238.204
6.20235,240.436
6.26564,242.656
6.32893,244.862
6.39222,247.057
6.45551,249.239
6.5188,251.406
6.58209,253.56
6.64538,255.701
6.70867,257.827
6.77196,259.939
6.83525,262.037
6.89854,264.124
6.96183,266.2
7.02512,268.267
7.08841,270.324
7.15169,272.368
7.21498,274.392
7.27827,276.4
7.34156,278.391
7.40485,280.361
7.46814,282.31
7.53143,284.241
7.59472,286.149
7.65801,288.039
7.7213,289.908
7.78459,291.762
7.84788,293.6
7.91117,295.42
7.97446,297.218
8.03775,299.005
8.10103,300.77
8.16432,302.516
8.22761,304.251
8.2909,305.969
8.35419,307.667
8.41748,309.35
8.48077,311.02
8.54406,312.675
8.60735,314.311
8.67064,315.933
8.73393,317.541
8.79722,319.131
8.86051,320.702
8.9238,322.271
8.98709,323.801
9.05037,325.321
9.11366,326.833
9.17695,328.329
9.24024,329.816
9.30353,331.293
9.36682,332.756
9.43011,334.211
9.4934,335.648
9.55669,337.084
9.49946,335.081
9.44223,333.088
9.385,331.09
9.32776,329.098
9.27053,327.107
9.2133,325.116
9.15607,323.13
9.09884,321.142
9.04161,319.161
8.98438,317.177
8.92714,315.199
8.86991,313.221
8.81268,311.248
8.75545,309.274
8.69822,307.303
8.64099,305.329
8.58376,303.356
8.52653,301.38
8.46929,299.404
8.41206,297.427
8.35483,295.449
8.2976,293.471
8.24037,291.487
8.18314,289.504
8.12591,287.514
8.06867,285.523
8.01144,283.527
7.95421,281.524
7.89698,279.516
7.83975,277.502
7.78252,275.482
7.72529,273.454
7.66806,271.42
7.61082,269.376
7.55359,267.326
7.49636,265.265
7.43913,263.197
7.3819,261.121
7.32467,259.032
7.26744,256.935
7.2102,254.824
7.15297,252.703
7.09574,250.575
7.03851,248.436
6.98128,246.287
6.92405,244.128
6.86682,241.958
6.80959,239.78
6.75235,237.591
6.69512,235.391
6.63789,233.181
6.58066,230.963
6.52343,228.732
6.4662,226.49
6.40897,224.238
6.35173,221.976
6.2945,219.703
6.23727,217.421
6.18004,215.129
6.12281,212.828
6.06558,210.516
6.00835,208.192
5.95112,205.859
5.89388,203.519
5.83665,201.173
5.77942,198.82
5.72219,196.458
5.66496,194.086
5.60773,191.707
5.5505,189.322
5.49326,186.931
5.43603,184.534
5.3788,182.131
5.32157,179.722
5.26434,177.308
5.20711,174.888
5.14988,172.462
5.09265,170.03
5.03541,167.592
4.97818,165.148
4.92095,162.702
4.86372,160.254
4.80649,157.805
4.74926,155.353
4.69203,152.896
4.63479,150.434
4.57756,147.972
4.52033,145.51
4.4631,143.048
4.40587,140.586
4.34864,138.125
4.29141,135.663
4.23418,133.201
4.17694,130.74
4.11971,128.278
4.06248,125.817
4.00525,123.355
3.94802,120.894
3.89079,118.433
3.83356,115.972
3.77632,113.511
3.71909,111.05
3.66186,108.589
3.60463,106.128
3.5474,103.668
3.49017,101.207
3.43294,98.7468
3.37571,96.2866
3.31847,93.8265
3.26124,91.3665
3.20401,88.9067
3.14678,86.4472
3.08955,83.9877
3.03232,81.5284
2.97509,79.0694
2.91785,76.6106
2.86062,74.152
2.80339,71.6937
2.74616,69.2356
2.68893,66.7778
2.6317,64.3204
2.57447,61.8632
2.51724,59.4065
2.46,56.9501
2.40277,54.4942
2.34554,52.0387
2.28831,49.5837
2.23108,47.1293
2.17385,44.6755
2.11662,42.2223
2.05938,39.7698
2.00215,37.3181
1.94492,34.8672
1.88769,32.4174
1.83046,29.9685
