Top_Displacement_mm,Base_Shear_kN
0.0632893,3.77835
0.126579,7.55389
0.189868,11.3266
0.253157,15.0965
0.316447,18.8636
0.379736,22.6279
0.443025,26.3893
0.506315,30.1479
0.569604,33.9036
0.632893,37.6565
0.696183,41.4065
0.759472,45.1537
0.822761,48.898
0.886051,52.6394
0.94934,56.378
1.01263,60.1136
1.07592,63.8464
1.13921,67.5763
1.2025,71.3033
1.26579,75.0274
1.32908,78.7486
1.39237,82.4669
1.45565,86.1822
1.51894,89.8946
1.58223,93.6042
1.64552,97.3107
1.70881,101.014
1.7721,104.715
1.83539,108.413
1.89868,112.108
1.96197,115.799
2.02526,119.488
2.08855,123.174
2.15184,126.857
2.21513,130.537
2.27842,134.214
2.34171,137.888
2.40499,141.559
2.46828,145.227
2.53157,148.892
2.59486,152.555
2.65815,156.214
2.72144,159.87
2.78473,163.523
2.84802,167.173
2.91131,170.82
2.9746,174.464
3.03789,178.105
3.10118,181.743
3.16447,185.378
3.22776,189.009
3.29105,192.638
3.35433,196.264
3.41762,199.887
3.48091,203.506
3.5442,207.123
3.60749,210.737
3.67078,214.347
3.73407,217.954
3.79736,221.559
3.86065,225.16
3.92394,228.758
3.98723,232.353
4.05052,235.945
4.11381,239.534
4.1771,243.12
4.24039,246.703
4.30367,250.283
4.36696,253.859
4.43025,257.432
4.49354,261.003
4.55683,264.57
4.62012,268.134
4.68341,271.695
4.7467,275.253
4.80999,278.808
4.87328,282.359
4.93657,285.908
4.99986,289.453
5.06315,292.995
5.12644,296.534
5.18973,300.07
5.25301,303.603
5.3163,307.132
5.37959,310.659
5.44288,314.182
5.50617,317.701
5.56946,321.207
5.63275,324.699
5.69604,328.184
5.75933,331.662
5.82262,335.124
5.88591,338.573
5.9492,342.007
6.01249,345.427
6.07578,348.832
6.13907,352.223
6.20235,355.605
6.26564,358.987
6.32893,362.37
6.39222,365.754
6.45551,369.135
6.5188,372.509
6.58209,375.877
6.64538,379.243
6.70867,382.608
6.77196,385.965
6.83525,389.313
6.89854,392.655
6.96183,395.98
7.02512,399.277
7.08841,402.551
7.15169,405.798
7.21498,409.017
7.27827,412.214
7.34156,415.394
7.40485,418.558
7.46814,421.704
7.53143,424.833
7.59472,427.938
7.65801,431.024
7.7213,434.092
7.78459,437.139
7.84788,440.166
7.91117,443.181
7.97446,446.169
8.03775,449.136
8.10103,452.096
8.16432,455.034
8.22761,457.952
8.2909,460.841
8.35419,463.709
8.41748,466.556
8.48077,469.366
8.54406,472.159
8.60735,474.923
8.67064,477.657
8.73393,480.384
8.79722,483.082
8.86051,485.752
8.9238,488.411
8.98709,491.042
9.05037,493.653
9.11366,496.239
9.17695,498.809
9.24024,501.352
9.30353,503.872
9.36682,506.367
9.43011,508.845
9.4934,511.296
9.55669,513.728
9.49946,510.638
9.44223,507.541
9.385,504.452
9.32776,501.356
9.27053,498.27
9.2133,495.177
9.15607,492.09
9.09884,488.999
9.04161,485.915
8.98438,482.825
8.92714,479.746
8.86991,476.659
8.81268,473.586
8.75545,470.504
8.69822,467.435
8.64099,464.358
8.58376,461.288
8.52653,458.212
8.46929,455.143
8.41206,452.067
8.35483,448.996
8.2976,445.917
8.24037,442.836
8.18314,439.743
8.12591,436.644
8.06867,433.54
8.01144,430.426
7.95421,427.304
7.89698,424.17
7.83975,421.03
7.78252,417.874
7.72529,414.71
7.66806,411.535
7.61082,408.345
7.55359,405.147
7.49636,401.933
7.43913,398.706
7.3819,395.472
7.32467,392.222
7.26744,388.957
7.2102,385.68
7.15297,382.384
7.09574,379.076
7.03851,375.756
6.98128,372.42
6.92405,369.072
6.86682,365.712
6.80959,362.339
6.75235,358.957
6.69512,355.565
6.63789,352.16
6.58066,348.738
6.52343,345.308
6.4662,341.87
6.40897,338.424
6.35173,334.967
6.2945,331.503
6.23727,328.03
6.18004,324.549
6.12281,321.058
6.06558,317.558
6.00835,314.05
5.95112,310.532
5.89388,307.006
5.83665,303.47
5.77942,299.924
5.72219,296.369
5.66496,292.805
5.60773,289.234
5.5505,285.661
5.49326,282.083
5.43603,278.496
5.3788,274.901
5.32157,271.306
5.26434,267.711
5.20711,264.117
5.14988,260.522
5.09265,256.927
5.03541,253.332
4.97818,249.738
4.92095,246.143
4.86372,242.548
4.80649,238.954
4.74926,235.359
4.69203,231.765
4.63479,228.17
4.57756,224.575
4.52033,220.981
4.4631,217.387
4.40587,213.792
4.34864,210.198
4.29141,206.604
4.23418,203.009
4.17694,199.415
4.11971,195.821
4.06248,192.227
4.00525,188.633
3.94802,185.039
3.89079,181.445
3.83356,177.851
3.77632,174.257
3.71909,170.664
3.66186,167.07
3.60463,163.476
3.5474,159.883
3.49017,156.29
3.43294,152.696
3.37571,149.103
3.31847,145.51
3.26124,141.917
3.20401,138.324
3.14678,134.732
3.08955,131.139
3.03232,127.547
2.97509,123.954
2.91785,120.362
2.86062,116.77
2.80339,113.179
2.74616,109.587
2.68893,105.996
2.6317,102.405
2.57447,98.8141
2.51724,95.2235
2.46,91.6334
2.40277,88.0435
2.34554,84.454
2.28831,80.8649
2.23108,77.2761
2.17385,73.6879
2.11662,70.1001
2.05938,66.513
2.00215,62.9264
1.94492,59.3405
1.88769,55.7552
1.83046,52.1708
1.77323,48.5873
1.716,45.0048
1.65877,41.4233
1.60153,37.8431
1.5443,34.2642
1.48707,30.6869
1.42984,27.1114
1.37261,23.5378
1.31538,19.9664
1.25815,16.3976
1.20091,12.8317
1.14368,9.26922
1.08645,5.7107
1.02922,2.1567
0.971989,-1.39189
0.914758,-4.93421
0.857527,-8.46924
0.800295,-11.9957
0.743064,-15.5118
0.685833,-19.0149
0.628601,-22.5027
0.57137,-25.9712
0.514139,-29.4155
0.456907,-32.8289
0.399676,-36.2095
0.342445,-39.5674
0.285213,-42.8995
0.227982,-46.2159
0.170751,-49.5155
0.113519,-52.8015
0.056288,-56.0852
-0.000943333,-59.3667
-0.0581747,-62.6458
-0.115406,-65.9228
-0.172637,-69.1974
-0.229869,-72.4698
-0.2871,-75.7398
