Top_Displacement_mm,Base_Shear_kN
0.0632893,3.97966
0.126579,7.95655
0.189868,11.9306
0.253157,15.9019
0.316447,19.8704
0.379736,23.8361
0.443025,27.7989
0.506315,31.7589
0.569604,35.7161
0.632893,39.6704
0.696183,43.6218
0.759472,47.5704
0.822761,51.5161
0.886051,55.4589
0.94934,59.3988
1.01263,63.3358
1.07592,67.2699
1.13921,71.2011
1.2025,75.1293
1.26579,79.0546
1.32908,82.9769
1.39237,86.8963
1.45565,90.8127
1.51894,94.7261
1.58223,98.6366
1.64552,102.544
1.70881,106.448
1.7721,110.35
1.83539,114.248
1.89868,118.144
1.96197,122.036
2.02526,125.925
2.08855,129.812
2.15184,133.695
2.21513,137.575
2.27842,141.452
2.34171,145.326
2.40499,149.197
2.46828,153.065
2.53157,156.929
2.59486,160.791
2.65815,164.649
2.72144,168.505
2.78473,172.357
2.84802,176.206
2.91131,180.052
2.9746,183.894
3.03789,187.734
3.10118,191.57
3.16447,195.403
3.22776,199.233
3.29105,203.06
3.35433,206.883
3.41762,210.703
3.48091,214.52
3.5442,218.334
3.60749,222.145
3.67078,225.952
3.73407,229.756
3.79736,233.557
3.86065,237.354
3.92394,241.148
3.98723,244.939
4.05052,248.727
4.11381,252.511
4.1771,256.292
4.24039,260.069
4.30367,263.844
4.36696,267.615
4.43025,271.382
4.49354,275.146
4.55683,278.907
4.62012,282.665
4.68341,286.419
4.7467,290.169
4.80999,293.917
4.87328,297.66
4.93657,301.401
4.99986,305.138
5.06315,308.871
5.12644,312.602
5.18973,316.328
5.25301,320.052
5.3163,323.771
5.37959,327.488
5.44288,331.201
5.50617,334.91
5.56946,338.616
5.63275,342.318
5.69604,346.017
5.75933,349.713
5.82262,353.404
5.88591,357.093
5.9492,360.778
6.01249,364.459
6.07578,368.137
6.13907,371.811
6.20235,375.481
6.26564,379.148
6.32893,382.812
6.39222,386.472
6.45551,390.128
6.5188,393.781
6.58209,397.43
6.64538,401.075
6.70867,404.717
6.77196,408.355
6.83525,411.99
6.89854,415.62
6.96183,419.248
7.02512,422.871
7.08841,426.482
7.15169,430.074
7.21498,433.65
7.27827,437.214
7.34156,440.765
7.40485,444.301
7.46814,447.826
7.53143,451.338
7.59472,454.835
7.65801,458.325
7.7213,461.814
7.78459,465.304
7.84788,468.792
7.91117,472.279
7.97446,475.765
8.03775,479.248
8.10103,482.733
8.16432,486.207
8.22761,489.67
8.2909,493.128
8.35419,496.571
8.41748,499.992
8.48077,503.393
8.54406,506.769
8.60735,510.129
8.67064,513.459
8.73393,516.769
8.79722,520.063
8.86051,523.334
8.9238,526.588
8.98709,529.828
9.05037,533.047
9.11366,536.238
9.17695,539.418
9.24024,542.579
9.30353,545.714
9.36682,548.84
9.43011,551.939
9.4934,555.028
9.55669,558.088
9.49946,554.487
9.44223,550.881
9.385,547.277
9.32776,543.67
9.27053,540.062
9.2133,536.456
9.15607,532.845
9.09884,529.238
9.04161,525.625
8.98438,522.014
8.92714,518.396
8.86991,514.782
8.81268,511.169
8.75545,507.557
8.69822,503.937
8.64099,500.315
8.58376,496.686
8.52653,493.051
8.46929,489.41
8.41206,485.76
8.35483,482.106
8.2976,478.44
8.24037,474.765
8.18314,471.077
8.12591,467.379
8.06867,463.679
8.01144,459.971
7.95421,456.261
7.89698,452.545
7.83975,448.822
7.78252,445.098
7.72529,441.364
7.66806,437.625
7.61082,433.882
7.55359,430.131
7.49636,426.373
7.43913,422.609
7.3819,418.834
7.32467,415.054
7.26744,411.267
7.2102,407.47
7.15297,403.667
7.09574,399.856
7.03851,396.029
6.98128,392.194
6.92405,388.355
6.86682,384.517
6.80959,380.678
6.75235,376.839
6.69512,373
6.63789,369.161
6.58066,365.323
6.52343,361.484
6.4662,357.645
6.40897,353.806
6.35173,349.967
6.2945,346.129
6.23727,342.29
6.18004,338.451
6.12281,334.612
6.06558,330.774
6.00835,326.935
5.95112,323.096
5.89388,319.258
5.83665,315.419
5.77942,311.581
5.72219,307.742
5.66496,303.903
5.60773,300.065
5.5505,296.226
5.49326,292.388
5.43603,288.549
5.3788,284.711
5.32157,280.872
5.26434,277.034
5.20711,273.196
5.14988,269.357
5.09265,265.519
5.03541,261.681
4.97818,257.842
4.92095,254.004
4.86372,250.166
4.80649,246.328
4.74926,242.49
4.69203,238.651
4.63479,234.813
4.57756,230.975
4.52033,227.137
4.4631,223.299
4.40587,219.462
4.34864,215.624
4.29141,211.786
4.23418,207.948
4.17694,204.111
4.11971,200.273
4.06248,196.435
4.00525,192.598
3.94802,188.761
3.89079,184.923
3.83356,181.086
3.77632,177.249
3.71909,173.412
3.66186,169.575
3.60463,165.738
3.5474,161.901
3.49017,158.064
3.43294,154.228
3.37571,150.391
3.31847,146.555
3.26124,142.719
3.20401,138.883
3.14678,135.047
3.08955,131.211
3.03232,127.375
2.97509,123.54
2.91785,119.705
2.86062,115.87
2.80339,112.035
2.74616,108.201
2.68893,104.366
2.6317,100.532
2.57447,96.6987
2.51724,92.8654
2.46,89.0324
2.40277,85.1998
2.34554,81.3676
2.28831,77.5358
2.23108,73.7045
2.17385,69.8737
2.11662,66.0435
2.05938,62.2139
2.00215,58.385
1.94492,54.5568
1.88769,50.7294
1.83046,46.903
1.77323,43.0775
1.716,39.2531
1.65877,35.4299
1.60153,31.6081
1.5443,27.7878
1.48707,23.9691
1.42984,20.1523
1.37261,16.3377
1.31538,12.5254
1.25815,8.71595
1.20091,4.90951
1.14368,1.10682
1.08645,-2.69187
1.02922,-6.48569
0.971989,-10.2739
0.914758,-14.0554
0.857527,-17.8288
0.800295,-21.5925
0.743064,-25.3447
0.685833,-29.0829
0.628601,-32.8038
0.57137,-36.503
0.514139,-40.1767
0.456907,-43.8189
0.399676,-47.4261
0.342445,-51.0031
0.285213,-54.554
0.227982,-58.087
0.170751,-61.6052
0.113519,-65.1201
0.056288,-68.6327
-0.000943333,-72.143
-0.0581747,-75.651
-0.115406,-79.1566
-0.172637,-82.6599
-0.229869,-86.1609
-0.2871,-89.6595
-0.344331,-93.1558
-0.401563,-96.6497
-0.458794,-100.141
-0.516025,-103.63
-0.573257,-107.117
-0.630488,-110.602
-0.687719,-114.084
-0.744951,-117.563
-0.802182,-121.04
-0.859413,-124.515
-0.916645,-127.988
-0.973876,-131.457
-1.03111,-134.925
-1.08834,-138.39
-1.14557,-141.853
-1.2028,-145.313
-1.26003,-148.771
-1.31726,-152.226
-1.3745,-155.679
-1.43173,-159.129
-1.48896,-162.577
-1.54619,-166.022
-1.60342,-169.465
-1.66065,-172.905
-1.71788,-176.343
-1.77511,-179.779
-1.83235,-183.211
-1.88958,-186.642
-1.94681,-190.07
-2.00404,-193.495
-2.06127,-196.917
-2.1185,-200.338
-2.17573,-203.755
-2.23297,-207.17
-2.2902,-210.583
-2.34743,-213.992
-2.40466,-217.4
-2.46189,-220.804
-2.51912,-224.206
-2.57635,-227.606
-2.63358,-231.003
-2.69082,-234.397
-2.74805,-237.789
-2.80528,-241.178
-2.86251,-244.564
-2.91974,-247.948
-2.97697,-251.329
-3.0342,-254.708
-3.09144,-258.084
-3.14867,-261.457
-3.2059,-264.827
-3.26313,-268.195
-3.32036,-271.56
-3.37759,-274.923
-3.43482,-278.283
-3.49205,-281.64
-3.54929,-284.994
-3.60652,-288.346
-3.66375,-291.695
-3.72098,-295.041
-3.77821,-298.384
-3.83544,-301.725
-3.89267,-305.063
-3.94991,-308.399
-4.00714,-311.731
-4.06437,-315.061
-4.1216,-318.388
-4.17883,-321.712
-4.23606,-325.034
-4.29329,-328.353
-4.35052,-331.669
-4.40776,-334.982
-4.46499,-338.292
-4.52222,-341.6
-4.57945,-344.905
-4.63668,-348.207
-4.69391,-351.506
-4.75114,-354.802
-4.80838,-358.096
-4.86561,-361.386
-4.92284,-364.674
-4.98007,-367.959
-5.0373,-371.241
-5.09453,-374.521
-5.15176,-377.797
-5.20899,-381.071
-5.26623,-384.341
-5.32346,-387.609
-5.38069,-390.873
-5.43792,-394.126
-5.49515,-397.369
-5.55238,-400.606
-5.60961,-403.838
-5.66685,-407.065
-5.72408,-410.285
-5.78131,-413.496
-5.83854,-416.695
-5.89577,-419.886
-5.953,-423.067
-6.01023,-426.237
-6.06746,-429.398
-6.1247,-432.55
-6.18193,-435.69
-6.23916,-438.821
-6.29639,-441.942
-6.35362,-445.052
-6.41085,-448.154
-6.46808,-451.245
-6.52532,-454.325
-6.58255,-457.39
-6.63978,-460.441
-6.69701,-463.478
-6.75424,-466.505
-6.81147,-469.519
-6.8687,-472.522
-6.92593,-475.512
-6.98317,-478.487
-7.0404,-481.45
-7.09763,-484.397
-7.15486,-487.329
-7.21209,-490.249
-7.26932,-493.152
-7.32655,-496.041
-7.38379,-498.911
-7.44102,-501.765
-7.49825,-504.606
-7.55548,-507.43
-7.61271,-510.243
-7.66994,-513.037
-7.72717,-515.819
-7.7844,-518.58
-7.84164,-521.331
-7.89887,-524.061
-7.9561,-526.779
-8.01333,-529.479
-8.07056,-532.165
-8.12779,-534.834
-8.18502,-537.49
-8.24226,-540.153
-8.29949,-542.826
-8.35672,-545.502
-8.41395,-548.187
-8.47118,-550.867
-8.52841,-553.556
-8.58564,-556.244
-8.5163,-552.206
-8.44695,-548.167
-8.3776,-544.136
-8.30826,-540.114
-8.23891,-536.095
-8.16956,-532.093
-8.10022,-528.092
-8.03087,-524.071
-7.96152,-520.032
-7.89218,-515.971
-7.82283,-511.891
-7.75348,-507.789
-7.68414,-503.668
-7.61479,-499.526
-7.54544,-495.366
-7.4761,-491.187
-7.40675,-486.992
-7.3374,-482.774
-7.26806,-478.534
-7.19871,-474.277
-7.12936,-470.002
-7.06002,-465.708
-6.99067,-461.4
-6.92132,-457.075
-6.85198,-452.736
-6.78263,-448.386
-6.71328,-444.021
-6.64394,-439.641
-6.57459,-435.241
-6.50524,-430.832
-6.4359,-426.413
-6.36655,-421.984
-6.2972,-417.544
-6.22786,-413.094
-6.15851,-408.634
-6.08916,-404.165
-6.01982,-399.684
-5.95047,-395.193
-5.88112,-390.692
-5.81178,-386.182
-5.74243,-381.661
-5.67308,-377.13
-5.60374,-372.588
-5.53439,-368.041
-5.46504,-363.492
-5.3957,-358.94
-5.32635,-354.377
-5.257,-349.802
-5.18766,-345.227
-5.11831,-340.653
-5.04896,-336.078
-4.97962,-331.504
-4.91027,-326.929
-4.84092,-322.354
-4.77158,-317.78
-4.70223,-313.205
-4.63288,-308.63
-4.56354,-304.056
-4.49419,-299.481
-4.42484,-294.907
-4.3555,-290.332
-4.28615,-285.757
-4.2168,-281.183
-4.14746,-276.608
-4.07811,-272.033
-4.00876,-267.459
-3.93942,-262.884
-3.87007,-258.309
-3.80072,-253.735
-3.73138,-249.16
-3.66203,-244.586
-3.59268,-240.011
-3.52334,-235.436
-3.45399,-230.862
-3.38464,-226.287
-3.3153,-221.713
-3.24595,-217.138
-3.1766,-212.563
-3.10726,-207.989
-3.03791,-203.414
-2.96856,-198.839
-2.89922,-194.265
-2.82987,-189.69
-2.76052,-185.116
-2.69118,-180.541
-2.62183,-175.967
-2.55248,-171.392
-2.48314,-166.817
-2.41379,-162.243
-2.34444,-157.668
-2.2751,-153.094
-2.20575,-148.519
-2.1364,-143.944
-2.06706,-139.37
-1.99771,-134.795
-1.92836,-130.221
-1.85902,-125.646
-1.78967,-121.072
-1.72032,-116.497
-1.65098,-111.922
-1.58163,-107.348
-1.51228,-102.773
-1.44294,-98.1987
-1.37359,-93.6241
-1.30424,-89.0496
-1.2349,-84.475
-1.16555,-79.9005
-1.0962,-75.3259
-1.02686,-70.7514
-0.95751,-66.1769
-0.888163,-61.6023
-0.818817,-57.0278
-0.74947,-52.4533
-0.680123,-47.8788
-0.610777,-43.3043
-0.54143,-38.7297
-0.472083,-34.1552
-0.402737,-29.5807
-0.33339,-25.0062
-0.264043,-20.4317
-0.194697,-15.8572
-0.12535,-11.2827
-0.0560033,-6.70817
0.0133433,-2.13368
0.08269,2.4408
0.152037,7.01526
0.221383,11.5897
0.29073,16.1642
0.360077,20.7386
0.429423,25.3131
0.49877,29.8876
0.568117,34.462
0.637463,39.0364
0.70681,43.6108
0.776157,48.1853
0.845503,52.7597
0.91485,57.3341
0.984197,61.9085
1.05354,66.483
1.12289,71.0573
1.19224,75.6317
1.26158,80.2061
1.33093,84.7804
1.40028,89.3548
1.46962,93.9291
1.53897,98.5035
1.60832,103.078
1.67766,107.652
1.74701,112.226
1.81636,116.801
1.8857,121.375
1.95505,125.949
2.0244,130.524
2.09374,135.098
2.16309,139.672
2.23244,144.246
2.30178,148.821
2.37113,153.395
2.44048,157.969
2.50982,162.543
2.57917,167.117
2.64852,171.691
2.71786,176.266
2.78721,180.84
2.85656,185.414
2.9259,189.988
2.99525,194.562
3.0646,199.136
3.13394,203.71
3.20329,208.284
3.27264,212.858
3.34198,217.432
3.41133,222.006
3.48068,226.58
3.55002,231.153
3.61937,235.727
3.68872,240.301
3.75806,244.875
3.82741,249.449
3.89676,254.022
3.9661,258.596
4.03545,263.17
4.1048,267.743
4.17414,272.317
4.24349,276.89
4.31284,281.464
4.38218,286.037
4.45153,290.611
4.52088,295.184
4.59022,299.757
4.65957,304.33
4.72892,308.903
4.79826,313.477
4.86761,318.049
4.93696,322.622
5.0063,327.195
5.07565,331.768
5.145,336.341
5.21434,340.913
5.28369,345.486
5.35304,350.058
5.42238,354.63
5.49173,359.202
5.56108,363.763
5.63042,368.313
5.69977,372.859
5.76912,377.402
5.83846,381.939
5.90781,386.466
5.97716,390.982
6.0465,395.487
6.11585,399.981
6.1852,404.466
6.25454,408.94
6.32389,413.403
6.39324,417.855
6.46258,422.297
6.53193,426.729
6.60128,431.151
6.67062,435.56
6.73997,439.959
6.80932,444.349
6.87866,448.72
6.94801,453.073
7.01736,457.411
7.0867,461.737
7.15605,466.05
7.2254,470.343
7.29474,474.619
7.36409,478.88
7.43344,483.12
7.50278,487.338
7.57213,491.537
7.64148,495.713
7.71082,499.867
7.78017,504.004
7.84952,508.121
