Top_Displacement_mm,Base_Shear_kN
0.0632893,3.46792
0.126579,6.93414
0.189868,10.3986
0.253157,13.8614
0.316447,17.3224
0.379736,20.7817
0.443025,24.2392
0.506315,27.695
0.569604,31.149
0.632893,34.6011
0.696183,38.0515
0.759472,41.5
0.822761,44.9468
0.886051,48.3916
0.94934,51.8347
1.01263,55.2758
1.07592,58.7152
1.13921,62.1526
1.2025,65.5881
1.26579,69.0218
1.32908,72.4535
1.39237,75.8833
1.45565,79.3112
1.51894,82.7371
1.58223,86.1611
1.64552,89.5831
1.70881,93.0032
1.7721,96.4213
1.83539,99.8374
1.89868,103.251
1.96197,106.664
2.02526,110.074
2.08855,113.482
2.15184,116.888
2.21513,120.292
2.27842,123.694
2.34171,127.094
2.40499,130.491
2.46828,133.887
2.53157,137.281
2.59486,140.672
2.65815,144.062
2.72144,147.442
2.78473,150.8
2.84802,154.151
2.91131,157.503
2.9746,160.856
3.03789,164.207
3.10118,167.558
3.16447,170.907
3.22776,174.257
3.29105,177.595
3.35433,180.922
3.41762,184.248
3.48091,187.573
3.5442,190.897
3.60749,194.222
3.67078,197.521
3.73407,200.788
3.79736,204.017
3.86065,207.211
3.92394,210.374
3.98723,213.506
4.05052,216.606
4.11381,219.672
4.1771,222.705
4.24039,225.703
4.30367,228.668
4.36696,231.601
4.43025,234.485
4.49354,237.325
4.55683,240.117
4.62012,242.863
4.68341,245.562
4.7467,248.213
4.80999,250.819
4.87328,253.381
4.93657,255.9
4.99986,258.378
5.06315,260.809
5.12644,263.2
5.18973,265.547
5.25301,267.854
5.3163,270.121
5.37959,272.343
5.44288,274.523
5.50617,276.667
5.56946,278.772
5.63275,280.841
5.69604,282.875
5.75933,284.875
5.82262,286.835
5.88591,288.763
5.9492,290.661
6.01249,292.529
6.07578,294.362
6.13907,296.166
6.20235,297.942
6.26564,299.638
6.32893,301.319
6.39222,302.955
6.45551,304.607
6.5188,306.204
6.58209,307.811
6.64538,309.368
6.70867,310.938
6.77196,312.493
6.83525,313.994
6.89854,315.511
6.96183,317.016
7.02512,318.483
7.08841,319.945
7.15169,321.403
7.21498,322.847
7.27827,324.278
7.34156,325.698
7.40485,327.018
7.46814,328.342
7.53143,329.703
7.59472,331.019
7.65801,332.33
7.7213,333.664
7.78459,334.964
7.84788,336.281
7.91117,337.598
7.97446,338.896
8.03775,340.195
8.10103,341.465
8.16432,342.74
8.22761,344.02
8.2909,345.291
8.35419,346.555
8.41748,347.812
8.48077,349.066
8.54406,350.311
8.60735,351.554
8.67064,352.788
8.73393,354.038
8.79722,355.267
8.86051,356.48
8.9238,357.699
8.98709,358.925
9.05037,360.124
9.11366,361.321
9.17695,362.536
9.24024,363.718
9.30353,364.907
9.36682,366.097
9.43011,367.294
9.4934,368.478
9.55669,369.64
9.49946,368.036
9.44223,366.435
9.385,364.833
9.32776,363.23
9.27053,361.628
9.2133,360.026
9.15607,358.426
9.09884,356.824
9.04161,355.223
8.98438,353.623
8.92714,352.023
8.86991,350.421
8.81268,348.822
8.75545,347.223
8.69822,345.621
8.64099,344.023
8.58376,342.425
8.52653,340.825
8.46929,339.227
8.41206,337.63
8.35483,336.031
8.2976,334.432
8.24037,332.834
8.18314,331.233
8.12591,329.631
8.06867,328.029
8.01144,326.422
7.95421,324.814
7.89698,323.204
7.83975,321.589
7.78252,319.971
7.72529,318.35
7.66806,316.725
7.61082,315.095
7.55359,313.461
7.49636,311.82
7.43913,310.177
7.3819,308.525
7.32467,306.87
7.26744,305.208
7.2102,303.538
7.15297,301.863
7.09574,300.181
7.03851,298.49
6.98128,296.792
6.92405,295.088
6.86682,293.372
6.80959,291.651
6.75235,289.919
6.69512,288.178
6.63789,286.426
6.58066,284.666
6.52343,282.894
6.4662,281.11
6.40897,279.315
6.35173,277.509
6.2945,275.692
6.23727,273.859
6.18004,272.015
6.12281,270.156
6.06558,268.287
6.00835,266.402
5.95112,264.503
5.89388,262.591
5.83665,260.66
5.77942,258.717
5.72219,256.757
5.66496,254.78
5.60773,252.789
5.5505,250.778
5.49326,248.75
5.43603,246.706
5.3788,244.643
5.32157,242.56
5.26434,240.459
5.20711,238.339
5.14988,236.196
5.09265,234.034
5.03541,231.853
4.97818,229.651
4.92095,227.427
4.86372,225.181
4.80649,222.909
4.74926,220.616
4.69203,218.3
4.63479,215.963
4.57756,213.601
4.52033,211.215
4.4631,208.805
4.40587,206.371
4.34864,203.913
4.29141,201.429
