Top_Displacement_mm,Base_Shear_kN
0.0632893,2.85854
0.126579,5.71446
0.189868,8.56775
0.253157,11.4184
0.316447,14.2664
0.379736,17.1118
0.443025,19.9545
0.506315,22.7946
0.569604,25.632
0.632893,28.4668
0.696183,31.2988
0.759472,34.1282
0.822761,36.9549
0.886051,39.7789
0.94934,42.6003
1.01263,45.4189
1.07592,48.2348
1.13921,51.048
1.2025,53.8585
1.26579,56.6662
1.32908,59.4713
1.39237,62.2736
1.45565,65.0731
1.51894,67.8699
1.58223,70.664
1.64552,73.4553
1.70881,76.2439
1.7721,79.0297
1.83539,81.8127
1.89868,84.593
1.96197,87.3704
2.02526,90.1451
2.08855,92.9171
2.15184,95.6862
2.21513,98.4525
2.27842,101.216
2.34171,103.977
2.40499,106.735
2.46828,109.49
2.53157,112.242
2.59486,114.992
2.65815,117.738
2.72144,120.482
2.78473,123.223
2.84802,125.961
2.91131,128.697
2.9746,131.429
3.03789,134.159
3.10118,136.885
3.16447,139.609
3.22776,142.33
3.29105,145.049
3.35433,147.764
3.41762,150.477
3.48091,153.186
3.5442,155.893
3.60749,158.597
3.67078,161.298
3.73407,163.996
3.79736,166.688
3.86065,169.366
3.92394,172.037
3.98723,174.701
4.05052,177.358
4.11381,180
4.1771,182.626
4.24039,185.238
4.30367,187.842
4.36696,190.447
4.43025,193.051
4.49354,195.648
4.55683,198.241
4.62012,200.832
4.68341,203.421
4.7467,206.006
4.80999,208.583
4.87328,211.151
4.93657,213.708
4.99986,216.254
5.06315,218.793
5.12644,221.315
5.18973,223.822
5.25301,226.31
5.3163,228.777
5.37959,231.223
5.44288,233.65
5.50617,236.057
5.56946,238.445
5.63275,240.819
5.69604,243.177
5.75933,245.518
5.82262,247.842
5.88591,250.146
5.9492,252.425
6.01249,254.676
6.07578,256.899
6.13907,259.097
6.20235,261.269
6.26564,263.415
6.32893,265.536
6.39222,267.633
6.45551,269.706
6.5188,271.755
6.58209,273.779
6.64538,275.78
6.70867,277.758
6.77196,279.711
6.83525,281.641
6.89854,283.549
6.96183,285.437
7.02512,287.296
7.08841,289.135
7.15169,290.949
7.21498,292.737
7.27827,294.506
7.34156,296.258
7.40485,297.988
7.46814,299.698
7.53143,301.389
7.59472,303.062
7.65801,304.721
7.7213,306.345
7.78459,307.941
7.84788,309.525
7.91117,311.104
7.97446,312.659
8.03775,314.188
8.10103,315.721
8.16432,317.239
8.22761,318.748
8.2909,320.242
8.35419,321.724
8.41748,323.193
8.48077,324.651
8.54406,326.09
8.60735,327.527
8.67064,328.94
8.73393,330.354
8.79722,331.748
8.86051,333.138
8.9238,334.53
8.98709,335.894
9.05037,337.247
9.11366,338.593
9.17695,339.928
9.24024,341.238
9.30353,342.551
9.36682,343.84
9.43011,345.122
9.4934,346.4
9.55669,347.682
9.49946,345.841
9.44223,344.004
9.385,342.168
9.32776,340.329
9.27053,338.497
9.2133,336.664
9.15607,334.83
9.09884,333
9.04161,331.17
8.98438,329.34
8.92714,327.513
8.86991,325.687
8.81268,323.863
8.75545,322.039
8.69822,320.22
8.64099,318.4
8.58376,316.583
8.52653,314.767
8.46929,312.952
8.41206,311.138
8.35483,309.321
