Top_Displacement_mm,Base_Shear_kN
0.0632893,4.44604
0.126579,8.89097
0.189868,13.3348
0.253157,17.7774
0.316447,22.2189
0.379736,26.6593
0.443025,31.0984
0.506315,35.5364
0.569604,39.9732
0.632893,44.4087
0.696183,48.8431
0.759472,53.2762
0.822761,57.7081
0.886051,62.1387
0.94934,66.5681
1.01263,70.9962
1.07592,75.423
1.13921,79.8485
1.2025,84.2727
1.26579,88.6955
1.32908,93.1171
1.39237,97.5373
1.45565,101.956
1.51894,106.374
1.58223,110.79
1.64552,115.205
1.70881,119.618
1.7721,124.03
1.83539,128.44
1.89868,132.849
1.96197,137.257
2.02526,141.663
2.08855,146.068
2.15184,150.471
2.21513,154.873
2.27842,159.273
2.34171,163.672
2.40499,168.07
2.46828,172.465
2.53157,176.86
2.59486,181.252
2.65815,185.644
2.72144,190.033
2.78473,194.421
2.84802,198.808
2.91131,203.192
2.9746,207.576
3.03789,211.957
3.10118,216.337
3.16447,220.716
3.22776,225.087
3.29105,229.443
3.35433,233.796
3.41762,238.149
3.48091,242.502
3.5442,246.853
3.60749,251.204
3.67078,255.553
3.73407,259.903
3.79736,264.252
3.86065,268.596
3.92394,272.93
3.98723,277.261
4.05052,281.592
4.11381,285.89
4.1771,290.157
4.24039,294.383
4.30367,298.574
4.36696,302.725
4.43025,306.838
4.49354,310.908
4.55683,314.935
4.62012,318.927
4.68341,322.876
4.7467,326.79
4.80999,330.665
4.87328,334.503
4.93657,338.293
4.99986,342.025
5.06315,345.699
5.12644,349.321
5.18973,352.888
5.25301,356.398
5.3163,359.853
5.37959,363.255
5.44288,366.607
5.50617,369.902
5.56946,373.145
5.63275,376.335
5.69604,379.474
5.75933,382.564
5.82262,385.608
5.88591,388.597
5.9492,391.532
6.01249,394.417
6.07578,397.254
6.13907,400.046
6.20235,402.79
6.26564,405.484
6.32893,408.131
6.39222,410.733
6.45551,413.297
6.5188,415.814
6.58209,418.286
6.64538,420.717
6.70867,423.073
6.77196,425.393
6.83525,427.631
6.89854,429.879
6.96183,432.062
7.02512,434.23
7.08841,436.382
7.15169,438.47
7.21498,440.557
7.27827,442.619
7.34156,444.618
7.40485,446.629
7.46814,448.615
7.53143,450.572
7.59472,452.479
7.65801,454.375
7.7213,456.257
7.78459,458.132
7.84788,459.971
7.91117,461.758
7.97446,463.481
8.03775,465.184
8.10103,466.922
8.16432,468.604
8.22761,470.306
8.2909,471.954
8.35419,473.628
8.41748,475.255
8.48077,476.898
8.54406,478.543
8.60735,480.119
8.67064,481.731
8.73393,483.362
8.79722,484.924
8.86051,486.477
8.9238,488.046
8.98709,489.592
9.05037,491.135
9.11366,492.694
9.17695,494.214
9.24024,495.69
9.30353,497.173
9.36682,498.696
9.43011,500.17
9.4934,501.636
9.55669,503.097
9.49946,501.047
9.44223,498.992
9.385,496.943
9.32776,494.891
9.27053,492.835
9.2133,490.791
9.15607,488.735
9.09884,486.683
9.04161,484.635
8.98438,482.582
8.92714,480.531
8.86991,478.48
8.81268,476.433
8.75545,474.377
8.69822,472.334
8.64099,470.279
8.58376,468.231
8.52653,466.181
8.46929,464.132
8.41206,462.077
8.35483,460.028
8.2976,457.967
8.24037,455.913
8.18314,453.845
8.12591,451.777
8.06867,449.705
8.01144,447.62
7.95421,445.539
7.89698,443.441
7.83975,441.341
7.78252,439.231
7.72529,437.109
7.66806,434.979
7.61082,432.841
7.55359,430.689
7.49636,428.528
7.43913,426.357
7.3819,424.169
7.32467,421.973
7.26744,419.763
7.2102,417.539
7.15297,415.3
7.09574,413.047
7.03851,410.782
6.98128,408.498
6.92405,406.2
6.86682,403.882
6.80959,401.554
6.75235,399.202
6.69512,396.837
6.63789,394.449
6.58066,392.044
6.52343,389.62
6.4662,387.174
6.40897,384.712
6.35173,382.226
6.2945,379.719
6.23727,377.193
6.18004,374.64
6.12281,372.066
6.06558,369.469
6.00835,366.844
5.95112,364.198
