Top_Displacement_mm,Base_Shear_kN
0.0632893,4.59761
0.126579,9.19447
0.189868,13.7906
0.253157,18.3859
0.316447,22.9804
0.379736,27.5742
0.443025,32.1671
0.506315,36.7592
0.569604,41.3505
0.632893,45.941
0.696183,50.5306
0.759472,55.1194
0.822761,59.7073
0.886051,64.2944
0.94934,68.8805
1.01263,73.4658
1.07592,78.0501
1.13921,82.6336
1.2025,87.2161
1.26579,91.7977
1.32908,96.3783
1.39237,100.958
1.45565,105.537
1.51894,110.115
1.58223,114.691
1.64552,119.267
1.70881,123.842
1.7721,128.416
1.83539,132.988
1.89868,137.56
1.96197,142.131
2.02526,146.701
2.08855,151.269
2.15184,155.837
2.21513,160.403
2.27842,164.968
2.34171,169.533
2.40499,174.096
2.46828,178.658
2.53157,183.219
2.59486,187.779
2.65815,192.336
2.72144,196.882
2.78473,201.428
2.84802,205.974
2.91131,210.52
2.9746,215.065
3.03789,219.609
3.10118,224.15
3.16447,228.694
3.22776,233.231
3.29105,237.766
3.35433,242.298
3.41762,246.831
3.48091,251.363
3.5442,255.875
3.60749,260.345
3.67078,264.773
3.73407,269.153
3.79736,273.487
3.86065,277.779
3.92394,282.029
3.98723,286.23
4.05052,290.385
4.11381,294.501
4.1771,298.57
4.24039,302.599
4.30367,306.56
4.36696,310.462
4.43025,314.297
4.49354,318.071
4.55683,321.779
4.62012,325.424
4.68341,329.003
4.7467,332.522
4.80999,335.98
4.87328,339.376
4.93657,342.714
4.99986,345.996
5.06315,349.217
5.12644,352.377
5.18973,355.479
5.25301,358.521
5.3163,361.511
5.37959,364.438
5.44288,367.309
5.50617,370.129
5.56946,372.892
5.63275,375.605
5.69604,378.267
5.75933,380.884
5.82262,383.453
5.88591,385.971
5.9492,388.445
6.01249,390.88
6.07578,393.273
6.13907,395.621
6.20235,397.858
6.26564,400.078
6.32893,402.232
6.39222,404.401
6.45551,406.497
6.5188,408.585
6.58209,410.665
6.64538,412.689
6.70867,414.715
6.77196,416.727
6.83525,418.676
6.89854,420.646
6.96183,422.591
7.02512,424.49
7.08841,426.39
7.15169,428.277
7.21498,430.065
7.27827,431.837
7.34156,433.555
7.40485,435.304
7.46814,437.097
7.53143,438.821
7.59472,440.591
7.65801,442.299
7.7213,444.009
7.78459,445.732
7.84788,447.459
7.91117,449.138
7.97446,450.838
8.03775,452.497
8.10103,454.184
8.16432,455.866
8.22761,457.533
8.2909,459.193
8.35419,460.851
8.41748,462.496
8.48077,464.135
8.54406,465.77
8.60735,467.385
8.67064,469.045
8.73393,470.645
8.79722,472.222
8.86051,473.816
8.9238,475.431
8.98709,477.017
9.05037,478.611
9.11366,480.183
9.17695,481.768
9.24024,483.327
9.30353,484.87
9.36682,486.442
9.43011,487.98
9.4934,489.502
9.55669,491.064
9.49946,489.103
9.44223,487.144
9.385,485.186
9.32776,483.224
9.27053,481.265
9.2133,479.305
9.15607,477.346
9.09884,475.387
9.04161,473.426
8.98438,471.467
8.92714,469.509
8.86991,467.548
8.81268,465.587
8.75545,463.631
8.69822,461.67
8.64099,459.709
8.58376,457.753
8.52653,455.791
8.46929,453.834
8.41206,451.875
8.35483,449.916
8.2976,447.955
8.24037,445.996
8.18314,444.034
8.12591,442.069
8.06867,440.107
8.01144,438.136
7.95421,436.166
7.89698,434.192
7.83975,432.213
7.78252,430.231
7.72529,428.243
7.66806,426.249
7.61082,424.252
7.55359,422.246
7.49636,420.238
7.43913,418.22
7.3819,416.196
7.32467,414.164
7.26744,412.123
7.2102,410.076
7.15297,408.02
7.09574,405.954
7.03851,403.879
6.98128,401.794
6.92405,399.698
6.86682,397.594
6.80959,395.475
6.75235,393.347
6.69512,391.206
6.63789,389.055
6.58066,386.886
6.52343,384.708
6.4662,382.515
6.40897,380.309
6.35173,378.085
6.2945,375.846
6.23727,373.593
6.18004,371.323
6.12281,369.038
6.06558,366.732
6.00835,364.409
5.95112,362.069
5.89388,359.708
5.83665,357.33
5.77942,354.93
5.72219,352.51
5.66496,350.07
5.60773,347.607
5.5505,345.12
5.49326,342.613
5.43603,340.081
5.3788,337.523
5.32157,334.943
5.26434,332.337
5.20711,329.703
5.14988,327.042
5.09265,324.355
5.03541,321.641
4.97818,318.897
4.92095,316.122
4.86372,313.318
4.80649,310.484
4.74926,307.621
4.69203,304.728
4.63479,301.803
4.57756,298.846
4.52033,295.857
4.4631,292.835
4.40587,289.78
4.34864,286.689
4.29141,283.564
4.23418,280.404
4.17694,277.206
4.11971,273.973
4.06248,270.701
4.00525,267.391
3.94802,264.043
3.89079,260.655
3.83356,257.228
3.77632,253.759
3.71909,250.256
3.66186,246.714
3.60463,243.137
3.5474,239.518
3.49017,235.863
3.43294,232.169
3.37571,228.434
3.31847,224.661
3.26124,220.844
